index,statefp,state,countyfp,county,unique.name,hurricane,zcta,time.seconds,track_order,wind_order,rain_order,track_rate,wind_rate,rain_rate,track_bid1,wind_bid1,rain_bid1,track_answer1,wind_answer1,rain_answer1,track_bid2,wind_bid2,rain_bid2,track_answer2,wind_answer2,rain_answer2,mean.inc18,female,experience,evacuate,voice,action,long_risk,age,owner,tenure,short_risk,hurricane_awareness,fema_awareness,nfip_awareness,damage,hh_size,dist.shore,loss,fem_20ws,fem_30ws,fem_40ws,fem_50ws,meaninc_20ws,meaninc_30ws,meaninc_40ws,meaninc_50ws,ownr_20ws,ownr_30ws,ownr_40ws,ownr_50ws,tax,personal,worth,costly,trust,mean.inc11,US_inc18,dif_mean
872,45,south carolina,67,marion,south carolina marion,florence,29571,1519,1,2,3,1,1,3,39,28,20,0,0,0,31.2,22.4,16,0,0,0,49720,1,1,0,2,3,2.00E-04,62,1,25,0.001,4,1,1,0,5,70420.09283,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,49167.43,68372.58687,-22.19042179
873,45,south carolina,51,horry,south carolina horry,florence,29566,702,2,3,1,3,1,3,16,15,38,1,1,1,19.2,18,45.6,1,1,0,62548,1,1,0,2,3,0.1,65,1,13,0.05,4,3,3,0,2,5411.450026,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,65163.71,68372.58687,-19.76940904
874,37,north carolina,63,durham,north carolina durham,florence,27703,307,1,2,3,1,2,3,27,27,26,1,1,1,32.4,32.4,31.2,1,1,1,76827,0,0,0,4,2,1.00E-04,33,0,0.25,1.00E-04,1,1,1,0,1,170969.9489,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,68255.39,68372.58687,5.178912245
875,45,south carolina,51,horry,south carolina horry,florence,29526,1083,2,1,3,3,1,3,39,23,34,1,1,1,46.8,27.6,40.8,1,1,1,59986,0,1,1,1,2,0.02,81,1,0.333333333,0.01,4,3,3,1,2,19629.92289,1,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,63493.57,68372.58687,-19.76940904
876,45,south carolina,51,horry,south carolina horry,florence,29566,516,1,2,3,2,2,1,27,50,11,0,0,0,21.6,40,8.8,0,0,0,62548,1,1,1,3,3,0.2,52,0,0.5,0.2,4,4,3,0,5,5411.450026,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,0,0,65163.71,68372.58687,-19.76940904
877,37,north carolina,133,onslow,north carolina onslow,florence,28574,393,2,1,3,1,1,2,12,14,27,1,0,1,14.4,11.2,32.4,1,1,1,56979,0,1,0,2,2,0.2,21,0,0.666666667,0.2,3,2,1,1,6,37050.75052,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,57991.6,68372.58687,52.74634262
878,45,south carolina,51,horry,south carolina horry,florence,29575,786,3,2,1,1,1,3,40,6,38,0,1,1,32,7.2,45.6,0,1,1,67645,1,1,1,2,2,0.1,64,1,10,0.02,2,1,3,0,2,1854.832278,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,1,1,1,1,63868.73,68372.58687,-19.76940904
879,45,south carolina,51,horry,south carolina horry,florence,29527,2002,1,3,2,3,3,3,22,21,17,1,1,1,26.4,25.2,20.4,1,1,1,49760,1,1,0,4,4,2.00E-04,67,1,5,0.002,3,2,2,0,2,25095.17365,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,50434.16,68372.58687,-19.76940904
880,37,north carolina,129,new hanover,north carolina new hanover,florence,28409,595,3,2,1,2,2,3,46,33,45,0,1,1,36.8,39.6,54,0,1,1,104359,1,1,1,4,4,0.01,59,1,40,0.002,3,2,2,1,4,191.6535667,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,114339.05,68372.58687,25.90127429
881,37,north carolina,79,greene,north carolina greene,florence,28580,1226,1,2,3,1,1,3,9,46,17,1,1,1,10.8,55.2,20.4,1,1,1,52937,1,1,0,3,3,0.2,73,1,12,0.2,2,1,0,1,2,61977.10271,2,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,56057.04,68372.58687,36.77864103
