geoid,tot.pop18,male.pop18,fem.pop18,med.inc18,mean.inc18,mean.inc18.moe,zcta
8600000US01069,7332,3559,3773,63398,76135,5212,01069
8600000US01070,498,249,249,53750,70856,9940,01070
8600000US01071,1054,469,585,75491,82176,9012,01071
8600000US01072,1210,588,622,78696,90739,8218,01072
8600000US01073,4999,2499,2500,93854,118405,16451,01073
8600000US01074,403,131,272,64840,69852,17406,01074
8600000US01075,15309,5814,9495,65898,83301,4732,01075
8600000US01077,7744,3873,3871,77734,95372,7788,01077
8600000US01079,515,275,240,31875,63468,27148,01079
8600000US01080,2114,973,1141,58139,69715,13393,01080
8600000US01081,1472,703,769,54647,69192,7884,01081
8600000US01082,8396,4092,4304,54107,68449,4595,01082
8600000US01083,2346,1198,1148,70288,74678,15112,01083
8600000US01084,145,86,59,83750,111520,40906,01084
8600000US01085,34105,16231,17874,64026,82468,3462,01085
8600000US01086,372,185,187,,,,01086
8600000US01088,377,151,226,47232,54022,15531,01088
8600000US01089,22475,11128,11347,51472,72502,4206,01089
8600000US01092,1178,526,652,79907,89246,21664,01092
8600000US01093,242,125,117,89643,136228,44249,01093
8600000US01094,262,126,136,25104,46300,16732,01094
8600000US01095,11708,5486,6222,107361,128416,11398,01095
8600000US01096,2191,1069,1122,83080,100853,12531,01096
8600000US01097,24,6,18,,37067,22845,01097
8600000US01098,1023,491,532,78393,90288,9087,01098
8600000US01103,2024,887,1137,18338,36617,6436,01103
8600000US01104,17612,8189,9423,31113,50060,4932,01104
8600000US01105,8876,4286,4590,19921,29784,2927,01105
8600000US01106,12334,5720,6614,111545,150501,13195,01106
8600000US01107,7744,3573,4171,27131,42553,4014,01107
8600000US01108,20063,9364,10699,40915,55405,3673,01108
8600000US01109,22795,10483,12312,34329,46688,2337,01109
8600000US01118,11362,5183,6179,61786,78442,5295,01118
8600000US01119,10842,4793,6049,44091,60776,5700,01119
8600000US01128,2232,1156,1076,61875,82404,13930,01128
8600000US01129,5440,2536,2904,61645,71121,5918,01129
8600000US01151,6344,2920,3424,41002,50188,4171,01151
8600000US01199,0,0,0,,,,01199
8600000US01201,36249,17055,19194,49385,67687,2629,01201
8600000US01220,6765,3325,3440,49301,64283,4536,01220
8600000US01222,696,318,378,69432,73801,13850,01222
8600000US01223,2020,1024,996,75852,93111,9024,01223
8600000US01224,202,76,126,37576,34156,14842,01224
8600000US01225,2713,1411,1302,68264,77583,9718,01225
8600000US01226,5619,2515,3104,59875,82283,9388,01226
8600000US01229,70,50,20,,32656,15654,01229
8600000US01230,6883,3364,3519,67674,86181,9083,01230
8600000US01235,2194,1113,1081,66581,82428,6692,01235
8600000US01236,940,492,448,65833,103014,32649,01236
8600000US01237,2005,1013,992,78194,89514,12244,01237
8600000US01238,4767,2347,2420,72744,88539,7915,01238
8600000US01240,3914,1804,2110,72766,103514,15181,01240
8600000US01242,332,170,162,85789,83180,19849,01242
8600000US01243,247,109,138,69167,100414,36592,01243
8600000US01244,64,33,31,55417,64115,30978,01244
8600000US01245,729,360,369,75167,113087,19221,01245
8600000US01247,12752,6183,6569,41807,58425,4611,01247
8600000US01253,611,309,302,77375,94443,10417,01253
8600000US01254,891,462,429,85313,137232,25411,01254
8600000US01255,783,416,367,69135,95760,10730,01255
8600000US01256,595,334,261,60197,74963,7718,01256
8600000US01257,1775,912,863,94625,114738,24123,01257
8600000US01258,439,243,196,67500,86125,17349,01258
8600000US01259,507,240,267,60625,114977,24908,01259
8600000US01260,360,126,234,115208,97512,33794,01260
8600000US01262,1001,334,667,31144,70993,22740,01262
8600000US01264,174,68,106,66875,129121,37888,01264
8600000US01266,1144,578,566,71989,99441,13740,01266
8600000US01267,6767,3010,3757,82863,106997,11657,01267
8600000US01270,648,325,323,83333,112009,19765,01270
8600000US01301,14508,7145,7363,49312,65267,4112,01301
8600000US01330,1185,613,572,71346,97618,13157,01330
8600000US01331,10736,5031,5705,57164,68944,3886,01331
8600000US01337,1998,960,1038,67470,84012,6813,01337
8600000US01338,110,51,59,60625,65634,22495,01338
8600000US01339,1186,555,631,61500,75316,9867,01339
8600000US01340,1479,693,786,55980,72255,8677,01340
8600000US01341,1472,728,744,100417,125683,16213,01341
8600000US01342,1163,499,664,77202,99663,26502,01342
8600000US01343,38,19,19,76250,69458,25386,01343
8600000US01344,1167,541,626,61359,71300,5800,01344
8600000US01346,350,152,198,63036,79080,11210,01346
8600000US01347,160,23,137,54250,60591,20270,01347
8600000US01349,1003,492,511,64219,73824,11066,01349
8600000US01350,68,34,34,26458,41919,14538,01350
8600000US01351,1772,853,919,78849,85970,11928,01351
8600000US01354,1393,744,649,67083,84268,11999,01354
8600000US01355,780,412,368,68250,84343,11043,01355
8600000US01360,2403,1205,1198,72083,89564,11868,01360
8600000US01364,6324,3000,3324,46405,62725,5268,01364
8600000US01366,1095,487,608,68405,86021,9127,01366
8600000US01367,448,216,232,54500,67150,10877,01367
8600000US01368,991,501,490,72083,82135,10263,01368
8600000US01370,3463,1626,1837,57083,84279,20028,01370
8600000US01373,3761,1821,1940,73639,101267,19338,01373
8600000US01375,3124,1540,1584,61102,84851,25703,01375
8600000US01376,4282,1859,2423,41496,59821,9437,01376
8600000US01378,647,313,334,56250,67686,5526,01378
8600000US01379,711,366,345,44531,68530,20311,01379
8600000US01420,31631,15776,15855,55277,69203,3165,01420
8600000US01430,4766,2224,2542,97561,113980,13470,01430
8600000US01431,2595,1345,1250,101357,107607,9355,01431
8600000US01432,6246,3116,3130,91156,103949,8191,01432
8600000US01434,1646,1434,212,66477,103693,32075,01434
8600000US01436,2556,1328,1228,58458,81575,19219,01436
8600000US01438,490,287,203,117917,103009,31160,01438
8600000US01440,16515,8550,7965,50239,66620,4836,01440
8600000US01450,8615,4269,4346,126883,150606,13399,01450
8600000US01451,3405,1694,1711,155515,197465,26974,01451
8600000US01452,3674,1791,1883,95530,105091,8216,01452
